Id,GameTitle,Platforms,MobyScore,CriticScore,CriticVotes,UserScore,UserVotes,LastUpdatedUTC
158324,Bicycle Poker,"DOS,Windows 3.x",0,0,0,0,0,20/10/2024 5:26:10 AM
25803,Bicycle Pinochle,"Windows,Windows 3.x",0,0,0,0,0,20/10/2024 5:26:10 AM
206621,Bicycle Bridge,"DOS,Windows 3.x",0,0,0,0,0,20/10/2024 5:26:11 AM
48528,Bicycle Board Games,Windows,0,0,0,0,0,20/10/2024 5:26:11 AM
26238,BHunter,Windows,6.055,57,13,3.05,4,20/10/2024 5:26:14 AM
5768,Biathlon 2002,Windows,0,13,4,1.4000000000000001,3,20/10/2024 5:26:14 AM
1573,BFRIS Zero Gravity Fighter Combat,"Linux,Windows",0,0,0,0,0,20/10/2024 5:27:14 AM
5669,Beyond Time,"Windows,Windows 3.x",5.544651162790698,47,7,2.8874999999999997,12,20/10/2024 5:27:17 AM
6358,Beyond the Wall of Stars,"Windows 3.x,Macintosh",0,0,0,3,2,20/10/2024 5:27:17 AM
7906,Beyond Pearl Harbor: Pacific Warriors,Windows,5.673125000000001,46,8,3.111666666666667,6,20/10/2024 5:27:18 AM
34978,William R. Fisher's Beyond the Spirit's Eye,Windows,7.045714285714285,75,8,2.71,4,20/10/2024 5:27:18 AM
11290,Beyond Good & Evil,"Windows,PlayStation 2,Xbox,GameCube,Xbox 360,PlayStation 3,Xbox One",8.118227360308284,87,35,3.9364227642276424,123,20/10/2024 5:27:18 AM
13465,Beyond Divinity,"Windows,Macintosh",6.8344680851063835,71,32,2.92,20,20/10/2024 5:27:18 AM
1872,Beyond Atlantis,"Windows,Macintosh,iPad,iPhone",6.910032362459547,67,31,3.718518518518519,27,20/10/2024 5:27:20 AM
5046,Beyond Atlantis II,"Windows,PlayStation 2,iPad,Android,iPhone",6.6367816091954035,69,19,3.3273076923076923,26,20/10/2024 5:27:20 AM
695,Betrayal in Antara,"Windows,Windows 3.x",6.949705882352942,69,17,3.293529411764706,17,20/10/2024 5:27:20 AM
285,Betrayal at Krondor,"DOS,Windows",7.929425287356322,84,17,3.9364999999999997,100,20/10/2024 5:27:21 AM
19391,Bet on Soldier: Blood Sport,Windows,6.465121951219511,62,28,3.4875,16,20/10/2024 5:27:21 AM
19391,Bet on Soldier: Blood Sport,Windows,6.465121951219511,62,28,3.4875,16,20/10/2024 5:27:21 AM
158545,Bestseller Games Special: Ausgabe 9 - Classic Flight Simulations,DOS,0,0,0,0,0,20/10/2024 5:27:43 AM
198531,Best of Wimmelbild 5,Windows,0,0,0,0,0,20/10/2024 5:27:55 AM
210296,Best of Wimmelbild 4,Windows,0,0,0,0,0,20/10/2024 5:27:56 AM
89586,Best of Wimmelbild,Windows,0,0,0,0,0,20/10/2024 5:27:56 AM
117073,Best of Sierra Nr. 7,"Windows 3.x,Windows",0,0,0,0,0,20/10/2024 5:27:56 AM
13319,Best of Sierra Nr. 9,"DOS,Windows,Windows 3.x",0,0,0,3,1,20/10/2024 5:27:56 AM
13316,Best of Sierra Nr. 5,"DOS,Windows,Windows 3.x",0,0,0,4,1,20/10/2024 5:27:56 AM
13315,Best of Sierra Nr. 4,"DOS,Windows,Windows 3.x",0,0,0,3,1,20/10/2024 5:27:56 AM
13210,Best of Sierra Nr. 2,"DOS,Windows,Windows 3.x",0,80,1,4,1,20/10/2024 5:27:56 AM
201239,Best of Sierra Nr. 19,Windows,0,0,0,0,0,20/10/2024 5:27:56 AM
201236,Best of Sierra Nr. 16,Windows,0,0,0,0,0,20/10/2024 5:27:56 AM
13378,Best of Sierra Nr. 11,Windows,0,0,0,3,1,20/10/2024 5:27:56 AM
201233,Best of Sierra Nr. 14,Windows,0,0,0,0,0,20/10/2024 5:27:56 AM
201224,Best of Sierra Nr. 13,Windows,0,0,0,0,0,20/10/2024 5:27:56 AM
23965,Mahjongg,Windows,0,0,0,0,0,20/10/2024 5:27:57 AM
77793,Best of Arcade Games,"PlayStation 3,PS Vita,Nintendo 3DS",0,0,0,0,0,20/10/2024 5:27:58 AM
38100,Besieger,Windows,5.975774647887324,57,29,4,3,20/10/2024 5:28:01 AM
231583,Die Besiedlung Ägyptens,Windows,0,0,0,0,0,20/10/2024 5:28:01 AM
1358,Air Power: Battle in the Skies,DOS,7.1,0,0,0,0,20/10/2024 5:28:03 AM
6507,Taxi Challenge: Berlin,Windows,5.845238095238095,45,5,3.0625,8,20/10/2024 5:28:03 AM
33672,Beowulf: The Game,"Windows,Xbox 360,PlayStation 3",5.4032786885245905,50,24,3.0469999999999997,10,20/10/2024 5:28:03 AM
386,Beneath a Steel Sky,"DOS,Windows,Amiga,Amiga CD32,Macintosh,iPhone,Linux",7.975538847117794,85,34,3.936046511627907,172,20/10/2024 5:28:04 AM
37205,Bejeweled: Twist,"Windows,Nintendo DS,BREW,J2ME,Zeebo",7.578571428571428,74,8,3.7777777777777777,9,20/10/2024 5:28:04 AM
28527,Belief & Betrayal,Windows,6.2956321839080465,63,32,2.9106666666666663,15,20/10/2024 5:28:04 AM
208689,Beltion: Svod Ravnovesija,Windows,0,0,0,0,0,20/10/2024 5:28:05 AM
5095,Bejeweled: Deluxe,"Windows,Xbox,J2ME,Palm OS,Windows Mobile,Macintosh,Browser,Android,Dedicated console",7.1025,66,5,3.2427272727272727,22,20/10/2024 5:28:05 AM
15808,Bejeweled 2: Deluxe,"Windows,PSP,Palm OS,Windows Mobile,Xbox 360,Macintosh,PlayStation 3,Wii,Browser,iPhone,Android,Xbox One,MeeGo",7.515686274509804,81,4,3.8157894736842106,19,20/10/2024 5:28:05 AM
15808,Bejeweled 2: Deluxe,"Windows,PSP,Palm OS,Windows Mobile,Xbox 360,Macintosh,PlayStation 3,Wii,Browser,iPhone,Android,Xbox One,MeeGo",7.515686274509804,81,4,3.8157894736842106,19,20/10/2024 5:28:06 AM
219849,Bejeweled & Alchemy,"Macintosh,Windows",0,0,0,0,0,20/10/2024 5:28:06 AM
3226,Beetle Buggin',Windows,7.3,0,0,0,0,20/10/2024 5:28:07 AM
39454,Beer Tycoon,Windows,4.612,24,6,2.75,3,20/10/2024 5:28:08 AM
19426,Bedlam,"DOS,Commodore 64,ZX Spectrum,Amstrad CPC",5.466666666666667,0,0,0.17,2,20/10/2024 5:28:08 AM
38957,Beauty Factory,Windows,4.808695652173912,27,5,2.3333333333333335,3,20/10/2024 5:28:11 AM
2462,Who Wants to Beat Up a Millionaire,"Windows,Dreamcast",4.580851063829788,44,11,2.2,5,20/10/2024 5:28:11 AM
203519,Beat Blades Haruka,Windows,7.56,81,5,0,0,20/10/2024 5:28:11 AM
196681,Beat Angel Escalayer,Windows,0,0,0,0,0,20/10/2024 5:28:11 AM
118,The Beast Within: A Gabriel Knight Mystery,"Windows,DOS,Windows 3.x,Macintosh",8.2,0,0,0,0,20/10/2024 5:28:12 AM
118,The Beast Within: A Gabriel Knight Mystery,"Windows,DOS,Windows 3.x,Macintosh",8.2,0,0,0,0,20/10/2024 5:28:15 AM
11968,Beast Wars: Transformers,"Windows,PlayStation",5.247868852459017,42,11,3.032,5,20/10/2024 5:28:15 AM
12095,Beam Breakers,Windows,6.8597701149425285,67,23,4.4,2,20/10/2024 5:28:15 AM
52733,Beach Volleyball,Windows,0,67,1,3.2,1,20/10/2024 5:28:16 AM
50535,Beach Volley,Windows,0,0,0,0,0,20/10/2024 5:28:16 AM
30352,Beach Soccer,Windows,0,2,1,1.45,4,20/10/2024 5:28:16 AM
5438,Beach Head 2002,"Windows,Macintosh,Arcade",5.166666666666667,48,6,2.63,10,20/10/2024 5:28:16 AM
3056,Beach Head 2000,"Windows,Macintosh,Arcade",4.570270270270271,50,14,2.070588235294118,17,20/10/2024 5:28:16 AM
5566,BC Racers,"DOS,SEGA CD,SEGA 32X,3DO",6.90103092783505,74,16,3.7,10,20/10/2024 5:28:16 AM
132148,BC Kings,Windows,0,0,0,0,0,20/10/2024 5:28:16 AM
69604,Baumaschinen-Simulator 2012,"Windows,Macintosh",0,38,1,3.533333333333333,3,20/10/2024 5:28:17 AM
69604,Baumaschinen-Simulator 2012,"Windows,Macintosh",0,38,1,3.533333333333333,3,20/10/2024 5:28:17 AM
96769,Der Bauernhof,"Wii,Nintendo DS,Windows",0,0,0,0,0,20/10/2024 5:28:17 AM
69600,Construction Simulator,Windows,0,0,0,0,0,20/10/2024 5:28:17 AM
651,Battlezone II: Combat Commander,Windows,7.773398058252425,79,37,3.834761904761905,21,20/10/2024 5:28:17 AM
355,Battlezone,Windows,8.310483870967742,90,31,3.8499999999999996,52,20/10/2024 5:28:17 AM
